"","Country","ccode","region","deaths10k","deaths_tot","nurses10k","population_tot","vac_tot","vac10k"
"1","Afghanistan","AFG","EMRO",2.07561391026182,7896,4.46,38041757,12768909,3356.55080284541
"2","Albania","ALB","EURO",12.5627657928045,3596,60.46,2862427,3058102,10683.5982192734
"3","Algeria","DZA","AFRO",1.59826060190759,6881,15.48,43053054,15267442,3546.19256510816
"4","Andorra","AND","EURO",20.8724418131457,159,40.13,76177,156766,20579.1774420101
"5","Angola","AGO","AFRO",0.606749994713325,1931,4.08,31825299,23893345,7507.65766568289
"6","Antigua and Barbuda","ATG","AMRO",15.0337229058333,146,90.83,97115,136512,14056.7368583638
"7","Argentina","ARG","AMRO",29.1304228888912,130448,26,44780675,109652736,24486.6197304976
"8","Armenia","ARM","EURO",29.4787079812613,8719,49.54,2957728,2150112,7269.47170260416
"9","Australia","AUS","WPRO",7.2173374809548,18190,131.4,25203200,64549484,25611.6223336719
"10","Austria","AUT","EURO",24.5959514718457,21789,105.6,8858775,20369447,22993.5256285434
"11","Azerbaijan","AZE","EURO",10.0510374543715,10099,64.34,10047719,13804660,13739.0983963624
"12","Bahamas","BHS","AMRO",21.387161541108,833,45.67,389486,364701,9363.6485008447
"13","Bahrain","BHR","EMRO",9.35921090153087,1536,24.94,1641164,3476633,21183.9462722799
"14","Bangladesh","BGD","SEARO",1.80593015206803,29445,4.89,163046173,354990838,21772.4115487212
"15","Barbados","BRB","AMRO",19.9636960361785,573,30.6,287021,381633,13296.3441699388
"16","Belarus","BLR","EURO",7.53035548927263,7118,110,9452409,19047714,20151.1741609996
"17","Belgium","BEL","EURO",29.3448075115584,33616,200.8,11455519,29107703,25409.3271548849
"18","Belize","BLZ","AMRO",17.6251629943307,688,23.41,390351,502178,12864.7806717544
"19","Benin","BEN","AFRO",0.138122120460962,163,3.03,11801151,4232541,3586.54931201202
"20","Bhutan","BTN","SEARO",0.275195454295277,21,20.78,763094,2011426,26358.823421492
"21","Bolivia (Plurinational State of)","BOL","AMRO",19.417008552517,22355,15.59,11513102,15744383,13675.187625368
"22","Bosnia and Herzegovina","BIH","EURO",49.272977445003,16265,57.33,3300998,1924950,5831.41825593351
"23","Botswana","BWA","AFRO",12.1282995247217,2794,54.57,2303703,3171667,13767.6905399698
"24","Brazil","BRA","AMRO",33.0573603439485,697674,74.01,211049519,502262440,23798.321947372
"25","Brunei Darussalam","BRN","WPRO",3.43875780067206,149,58.97,433296,1288317,29732.9539160297
"26","Bulgaria","BGR","EURO",54.563981714959,38195,47.85,7000039,4612386,6589.08614652004
"27","Burkina Faso","BFA","AFRO",0.194868626805567,396,9.27,20321383,5117982,2518.52051604952
"28","Burundi","BDI","AFRO",0.0130088893209767,15,6.49,11530577,33929,29.4252403847613
"29","Cabo Verde","CPV","AFRO",7.50996479590352,413,12.98,549936,859940,15637.0923161968
"30","Cambodia","KHM","WPRO",1.8536331026846,3056,10.08,16486542,46255868,28056.7434941785
"31","Cameroon","CMR","AFRO",0.75937958417456,1965,3.63,25876387,4259154,1645.96162516815
"32","Canada","CAN","AMRO",13.595720065292,50863,110.7,37411038,93390727,24963.4150755186
"33","Central African Republic","CAF","AFRO",0.238136432787889,113,2.56,4745179,2535002,5342.26843708109
"34","Chad","TCD","AFRO",0.121653875660458,194,2.03,15946882,6367671,3993.05080453972
